Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Gateway NRA,National Recreation Area,2010,"8,820,757"
Northeast  Region,Gateway NRA,National Recreation Area,2009,"9,010,522"
Northeast  Region,Gateway NRA,National Recreation Area,2008,"9,431,021"
Northeast  Region,Gateway NRA,National Recreation Area,2007,"8,813,204"
Northeast  Region,Gateway NRA,National Recreation Area,2006,"8,456,456"
Northeast  Region,Gateway NRA,National Recreation Area,2005,"8,294,353"
Northeast  Region,Gateway NRA,National Recreation Area,2004,"8,228,573"
Northeast  Region,Gateway NRA,National Recreation Area,2003,"8,567,769"
Northeast  Region,Gateway NRA,National Recreation Area,2002,"9,014,438"
Northeast  Region,Gateway NRA,National Recreation Area,2001,"8,285,059"
Northeast  Region,Gateway NRA,National Recreation Area,2000,"7,927,567"
Northeast  Region,Gateway NRA,National Recreation Area,1999,"6,813,607"
Northeast  Region,Gateway NRA,National Recreation Area,1998,"7,124,022"
Northeast  Region,Gateway NRA,National Recreation Area,1997,"6,807,945"
Northeast  Region,Gateway NRA,National Recreation Area,1996,"6,381,502"
Northeast  Region,Gateway NRA,National Recreation Area,1995,"6,064,254"
Northeast  Region,Gateway NRA,National Recreation Area,1994,"4,192,280"
Northeast  Region,Gateway NRA,National Recreation Area,1993,"5,898,453"
Northeast  Region,Gateway NRA,National Recreation Area,1992,"6,161,637"
Northeast  Region,Gateway NRA,National Recreation Area,1991,"6,643,921"
Northeast  Region,Gateway NRA,National Recreation Area,1990,"5,790,221"
Northeast  Region,Gateway NRA,National Recreation Area,1989,"6,748,181"
Northeast  Region,Gateway NRA,National Recreation Area,1988,"6,215,162"
Northeast  Region,Gateway NRA,National Recreation Area,1987,"9,353,718"
Northeast  Region,Gateway NRA,National Recreation Area,1986,"8,902,610"
Northeast  Region,Gateway NRA,National Recreation Area,1985,"8,640,734"
Northeast  Region,Gateway NRA,National Recreation Area,1984,"7,881,106"
Northeast  Region,Gateway NRA,National Recreation Area,1983,"10,347,510"
Northeast  Region,Gateway NRA,National Recreation Area,1982,"9,869,135"
Northeast  Region,Gateway NRA,National Recreation Area,1981,"9,376,479"
Northeast  Region,Gateway NRA,National Recreation Area,1980,"9,053,257"
Northeast  Region,Gateway NRA,National Recreation Area,1979,"8,773,128"
Northeast  Region,Gateway NRA,National Recreation Area,1978,"8,636,009"
Northeast  Region,Gateway NRA,National Recreation Area,1977,"8,716,100"
Northeast  Region,Gateway NRA,National Recreation Area,1976,"8,973,400"
Northeast  Region,Gateway NRA,National Recreation Area,1975,"7,618,800"
Northeast  Region,Gateway NRA,National Recreation Area,1974,"3,832,400"
Northeast  Region,Gateway NRA,National Recreation Area,1973,
Northeast  Region,Gateway NRA,National Recreation Area,1972,
Northeast  Region,Gateway NRA,National Recreation Area,1971,
Northeast  Region,Gateway NRA,National Recreation Area,1970,
Northeast  Region,Gateway NRA,National Recreation Area,1969,
Northeast  Region,Gateway NRA,National Recreation Area,1968,
Northeast  Region,Gateway NRA,National Recreation Area,1967,
Northeast  Region,Gateway NRA,National Recreation Area,1966,
Northeast  Region,Gateway NRA,National Recreation Area,1965,
Northeast  Region,Gateway NRA,National Recreation Area,1964,
Northeast  Region,Gateway NRA,National Recreation Area,1963,
Northeast  Region,Gateway NRA,National Recreation Area,1962,
Northeast  Region,Gateway NRA,National Recreation Area,1961,
Northeast  Region,Gateway NRA,National Recreation Area,1960,
Northeast  Region,Gateway NRA,National Recreation Area,1959,
Northeast  Region,Gateway NRA,National Recreation Area,1958,
Northeast  Region,Gateway NRA,National Recreation Area,1957,
Northeast  Region,Gateway NRA,National Recreation Area,1956,
Northeast  Region,Gateway NRA,National Recreation Area,1955,
Northeast  Region,Gateway NRA,National Recreation Area,1954,
Northeast  Region,Gateway NRA,National Recreation Area,1953,
Northeast  Region,Gateway NRA,National Recreation Area,1952,
Northeast  Region,Gateway NRA,National Recreation Area,1951,
Northeast  Region,Gateway NRA,National Recreation Area,1950,
Northeast  Region,Gateway NRA,National Recreation Area,1949,
Northeast  Region,Gateway NRA,National Recreation Area,1948,
Northeast  Region,Gateway NRA,National Recreation Area,1947,
Northeast  Region,Gateway NRA,National Recreation Area,1946,
Northeast  Region,Gateway NRA,National Recreation Area,1945,
Northeast  Region,Gateway NRA,National Recreation Area,1944,
Northeast  Region,Gateway NRA,National Recreation Area,1943,
Northeast  Region,Gateway NRA,National Recreation Area,1942,
Northeast  Region,Gateway NRA,National Recreation Area,1941,
Northeast  Region,Gateway NRA,National Recreation Area,1940,
Northeast  Region,Gateway NRA,National Recreation Area,1939,
Northeast  Region,Gateway NRA,National Recreation Area,1938,
Northeast  Region,Gateway NRA,National Recreation Area,1937,
Northeast  Region,Gateway NRA,National Recreation Area,1936,
Northeast  Region,Gateway NRA,National Recreation Area,1935,
Northeast  Region,Gateway NRA,National Recreation Area,1934,
Northeast  Region,Gateway NRA,National Recreation Area,1933,
Northeast  Region,Gateway NRA,National Recreation Area,1932,
Northeast  Region,Gateway NRA,National Recreation Area,1931,
Northeast  Region,Gateway NRA,National Recreation Area,1930,
Northeast  Region,Gateway NRA,National Recreation Area,1929,
